geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
eu27	489885.3 	487576.2 	485506.8 	484261.3 	482766.5 	482750.1 	481840.7 	: 	480386.8 	479540.2 
ea13	314014.5 	311917.4 	309965.0 	308239.9 	306834.7 	305643.7 	304822.1 	: 	303498.9 	302688.6 
ea11	300955.8 	298898.2 	296981.7 	295298.0 	293927.0 	292775.6 	292004.6 	: 	290798.6 	290066.7 
be	10421.1 	10376.1 	10332.8 	10286.6 	10251.3 	10213.8 	10203.8 	10181.2 	10156.6 	10136.8 
be10	1003.3 	996.0 	985.2 	971.4 	961.9 s	954.5 	954.4 s	951.9 	949.4 	949.9 
be21	1672.8 	1665.0 	1656.8 	1649.1 	1644.8 s	1641.0 	1639.6 s	1636.7 	1633.4 	1630.0 
be22	807.9 	804.2 	800.6 	796.7 	793.0 s	787.5 	785.6 s	781.9 	777.6 	773.5 
be23	1376.9 	1371.9 	1368.4 	1365.2 	1362.6 s	1359.7 	1358.4 s	1356.2 	1353.3 	1350.6 
be24	1034.8 	1029.9 	1025.3 	1020.6 	1016.6 s	1011.6 	1009.7 s	1006.3 	1001.9 	997.2 
be25	1137.2 	1134.9 	1133.1 	1131.2 	1129.4 s	1127.1 	1126.2 s	1124.5 	1123.3 	1122.0 
be31	362.2 	359.4 	356.6 	353.6 	351.0 s	347.4 	345.8 s	343.0 	340.3 	337.8 
be32	1284.7 	1282.5 	1281.4 	1280.4 	1279.6 s	1280.4 	1281.8 s	1283.6 	1284.6 	1285.7 
be33	1031.8 	1027.7 	1025.0 	1022.1 	1019.7 s	1018.3 	1017.4 s	1015.9 	1014.3 	1014.4 
be34	255.1 	253.2 	251.4 	249.6 	247.8 s	245.1 	244.6 s	243.2 	241.9 	240.8 
be35	454.4 	451.6 	449.1 	446.8 	444.9 s	441.2 	440.3 s	438.1 	436.6 	435.1 
bg	7781.2 	7823.6 	7868.9 	7913.3 	8170.2 	8210.6 	8256.8 	8312.1 	8362.8 	8406.1 
bg31	982.9 	999.5 	1016.0 	1032.1 	1074.2 	1087.9 	1102.7 	1117.0 	1127.6 	1138.1 
bg32	962.9 	971.8 	980.7 	991.4 	1043.9 	1051.6 	1060.9 	1071.3 	1080.5 	1087.3 
bg33	1003.8 	1009.1 	1015.3 	1021.7 	1021.9 	1029.4 	1035.7 	1042.3 	1048.1 	1053.9 
bg34	1143.3 	1150.8 	1158.8 	1166.0 	1206.5 	1212.6 	1219.7 	1228.5 	1236.1 	1242.1 
bg41	2112.4 	2107.1 	2103.1 	2097.0 bi	2142.9 	2142.2 	2142.8 	2147.8 	2155.5 	2162.4 
bg42	1575.8 	1585.3 	1595.0 	1605.1 	1680.7 	1686.8 	1695.0 	1705.2 	1714.9 	1722.2 
cz	10216.0 	10207.4 	10200.8 	10224.2 	10272.5 	10282.8 	10294.9 	10303.6 	10315.4 	10330.8 
cz01	1168.1 	1163.8 	1158.8 	1164.7 	1183.9 	1190.0 	1196.9 	1202.6 	1207.3 	1212.7 
cz02	1139.9 	1132.2 	1125.7 	1124.3 	1113.1 	1109.8 	1107.2 	1105.5 	1106.0 	1107.5 
cz03	1175.5 	1175.1 	1174.1 	1175.9 	1177.6 	1178.3 	1179.5 	1180.5 	1181.5 	1183.3 
cz04	1125.9 	1124.5 	1123.2 	1124.1 	1131.6 	1131.5 	1131.5 	1130.5 	1130.3 	1130.7 
cz05	1480.5 	1481.5 	1483.0 	1486.6 	1489.0 	1490.2 	1491.3 	1491.9 	1492.7 	1493.8 
